职位,薪资,公司,所在地,要求
CEO,20-30K,上海费氏食品有限公司,上海·嘉定区·江桥,5-10年本科
采购CEO,35-65K,法樽国际贸易,上海·浦东新区·外高桥,5-10年本科
CEO,20-40K,云闪住,上海·松江区·九亭,5-10年本科
CEO助理,120-200元/天,晋钰投资管理有限公司,上海·浦东新区·陆家嘴,4天/周3个月本科
CEO助理,10-15K,无熵信息科技,上海·黄浦区·五里桥,经验不限本科
CEO/总裁/总经理,11-22K·13薪,上海九穗,上海·浦东新区·张江,5-10年本科
总裁/总经理/CEO,4-5K,臻栩智能,上海·静安区·上海长途汽车站,经验不限大专
总经理CEO,50-80K,戴文设计,上海·杨浦区·五角场,10年以上本科
CEO,100-150K·15薪,小小堂,上海·黄浦区·五里桥,经验不限本科
CEO助理,10-15K·14薪,钰实,上海·杨浦区·新江湾城,经验不限本科
总裁/总经理/CEO,20-25K,万创危险品物流,上海·静安区·彭浦镇,10年以上大专
CEO助理,10-15K,Simba Events,上海·闵行区·七宝,在校/应届本科
CEO管培生,7-12K·18薪,立立谱特,上海·长宁区·中山公园,经验不限大专
CEO,15-30K,上海影响力,上海·普陀区·武宁,5-10年本科
CEO助理/总裁助理/总助,14-20K,晖锐私募基金管理...,上海·浦东新区·陆家嘴,经验不限本科
总裁/总经理/CEO,6-11K,思屿森,上海·闵行区·浦江,1-3年大专
总裁/总经理/CEO,20-40K,陶灵实业,上海·闵行区·颛桥,5-10年大专
ceo副总裁,13-26K,中厚信息,上海·普陀区·武宁,5-10年本科
CEO/总裁/总经理,12-24K,博湃建筑科技(上...,上海·浦东新区·陆家嘴,10年以上硕士
总裁/总经理/CEO,18-19K,中置投上海,上海·徐汇区·肇嘉浜路,10年以上大专
总裁/总经理/CEO,20-23K,俪莱产康,上海,5-10年大专
总裁/CEO,140-150K·24薪,明金集团,上海·浦东新区·陆家嘴,10年以上本科
总裁/总经理/CEO,20-30K,团计投资,上海·静安区·西藏北路,1-3年博士
CEO/总裁/总经理,40-50K,嘉御影视,上海·杨浦区·延吉,10年以上大专
CEO助理,8-10K,艺卓尔珠宝,上海·黄浦区·新天地,3-5年本科
CEO助理,6-9K·13薪,行深生物,上海·浦东新区·外高桥,1-3年大专
总裁/总经理/CEO,20-21K,上海里橙文化传媒...,上海·闵行区·虹桥,10年以上硕士
总助/CEO助理/董事长助理,12-21K,纽盈,上海·闵行区·浦江,5-10年本科
总裁/总经理/CEO,15-16K,莱诺家具,上海·松江区·永丰,10年以上本科
总裁/总经理/CEO,20-21K,春瓮(上海)文化...,上海·崇明区·上海长江大桥,1年以内大专
运营,5-7K,遂翼,上海·嘉定区·南翔,1-3年本科
生物医药 CEO,50-80K,艾瑞克,上海·静安区·静安寺,5-10年本科
总裁/总经理/CEO,18-20K,洁翳健康,上海·宝山区·吴淞,5-10年本科
总裁/总经理/CEO,50-80K,汝颜生物科技,上海·闵行区·华漕,10年以上硕士
总裁/总经理/CEO,20-21K,上海诸捷包装,上海·松江区·九亭,5-10年本科
总助/CEO助理/董事长助理,7-8K,品辉,上海·浦东新区·陆家嘴,1年以内大专
intern,120-150元/天,FAMACareer,上海·黄浦区·新天地,3天/周2个月本科
总助/CEO助理/董事长助理,10-15K·15薪,元泽物流,上海·黄浦区·南京东路,经验不限硕士
CEO助理/总裁助理/总助,20-30K·13薪,指增,上海·静安区·静安寺,5-10年本科
CEO助理/总裁助理/总助,10-15K,达到科技,上海·普陀区·长风,1-3年本科
CEO/行政总裁,50-80K,RA GAMING,上海·闵行区·虹桥,3-5年本科
CEO助理,8-12K,理享家,上海·黄浦区·城隍庙,1年以内本科
财务,6-10K,上海懋勤商务咨询...,上海·闵行区·七宝,1-3年大专
总裁/总经理/CEO,1-2K,上海东之澜,上海·浦东新区·金桥,经验不限学历不限
EMBA总裁班课程顾问（对接企业CEO）,5-10K·13薪,同光资本,上海·长宁区·江苏路,1-3年大专
CEO 秘书,12-24K·15薪,珍岛集团,上海·静安区·汶水路,1-3年本科
总裁/总经理/CEO,6-7K,上海锐旗建筑材料...,上海·浦东新区·航头,经验不限学历不限
总裁/总经理/CEO,20-21K,永慧,上海·松江区·叶榭,10年以上高中
总裁/总经理/CEO,30-50K,东方司宴,上海·黄浦区·城隍庙,10年以上本科
总裁/总经理/CEO,30-50K,水滴管家,上海·浦东新区·张江,10年以上本科
CEO,20-40K,上海味庆,上海,1-3年大专
CEO助理,10-15K·13薪,吾未网络,上海·徐汇区·漕河泾,1-3年本科
执行总裁/CEO/总经理,30-60K·15薪,上海好享智慧养老...,上海·闵行区·华漕,10年以上本科
CEO/总裁/总经理,80-110K,医链集团,上海·徐汇区·湖南路,5-10年本科
总助/CEO助理/董事长助理,8-13K,东洋桑,上海·松江区·新桥,3-5年本科
总助/CEO助理/董事长助理,5-7K,上海酷潮,上海·静安区·火车站,1-3年大专
CEO/总裁/总经理,40-70K·14薪,百弓网络,上海·长宁区·古北,5-10年本科
苏宁直播基地ceo,15-20K,索龙影视,上海,3-5年本科
CEO助理,10-15K,e代理,上海·静安区·南京西路,3-5年本科
CEO高级助理,15-25K,同森智能,上海,3-5年硕士
CEO助理,10-15K,投投是道,上海,1-3年本科
总裁/总经理/CEO,30-60K,上海良义城体育运...,上海·静安区·曹家渡,5-10年本科
总裁/总经理/CEO,160-200K·15薪,趣法科技,上海·杨浦区·鞍山,10年以上博士
总裁/总经理/CEO,80-110K·24薪,孚根,上海·闵行区·颛桥,10年以上本科
总裁/总经理/CEO,25-50K,上海讯豹实业有限公司,上海·静安区·汶水路,5-10年博士
产品总监,15-30K,上海品筑,上海·普陀区·长寿路,经验不限学历不限
CEO/总裁/总经理,15-30K,帝浆,上海·浦东新区·三林,3-5年硕士
CEO/总裁/总经理,10-20K,阿讷西文化传媒,上海·静安区·静安寺,1年以内本科
总助/CEO助理/董事长助理,8-13K,钻石婚恋,上海·浦东新区·陆家嘴,经验不限本科
研发经理,20-40K,精涂新材料,上海·金山区·山阳,5-10年硕士
CEO/总裁/总经理,10-11K,旌日实业,上海,3-5年硕士
CEO助理/总裁助理/总助,12-20K,中环云起,上海·浦东新区·陆家嘴,1-3年本科
总助/CEO助理/董事长助理,20-30K,汇凡教育,上海·黄浦区·五里桥,5-10年本科
总助/CEO助理/董事长助理,15-20K,启未,上海,3-5年大专
总裁/总经理/CEO,20-40K,陶灵实业,上海·闵行区·颛桥,5-10年硕士
总裁/总经理/CEO,15-20K,上海卡威,上海·宝山区·顾村,5-10年大专
营销培训生,6-10K,韵光科技,上海·闵行区·虹桥,1年以内大专
总裁/总经理/CEO,30-50K·24薪,上海云滃网络科技,上海·虹口区·虹口足球场,10年以上本科
总助/CEO助理/董事长助理,10-15K,涛万商业管理有限公司,上海·静安区·南京西路,3-5年本科
总裁/总经理/CEO,6-7K,万晟天华,上海·杨浦区·五角场,1-3年本科
总裁/总经理/CEO,15-30K,德华餐饮,上海·嘉定区·南翔,10年以上本科
7500底薪/无需经验/不限学历/高收入,8-13K,拓英信息科技有限公司,上海·杨浦区·东外滩,经验不限学历不限
总裁/总经理/CEO,21-22K,巢肽健康,上海·虹口区·大柏树,1-3年本科
总裁/总经理/CEO,20-21K,大耳,上海·杨浦区·五角场,1-3年本科
司机,7000-8500元/月,欧图,上海·黄浦区·新天地,5-10年高中
CEO助理,25-30K·13薪,正歆,上海·静安区·彭浦镇,3-5年硕士
总助/CEO助理/董事长助理,18-25K,冠菲,上海·青浦区·徐泾,5-10年本科
总裁/总经理/CEO,15-30K,尚尚健康,上海·嘉定区·南翔,3-5年本科
总裁/总经理/CEO,15-30K,影然,上海·青浦区·徐泾,5-10年本科
人事行政助理,6-8K·14薪,易界资本,上海·静安区·南京西路,1年以内大专
总裁/总经理/CEO,30-35K,雅享健康科技(上...,上海·浦东新区·张江,5-10年硕士
