职位,薪资,公司,所在地,要求
Java,14-20K,法本,上海·徐汇区·龙华,5-10年大专
Java实习生,300-350元/天,沐伊科技,上海·浦东新区·康桥,5天/周3个月大专
Java,15-16K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年大专
Java,13-25K·13薪,博彦科技,上海·浦东新区·陆家嘴,5-10年大专
Java,25-35K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年大专
Java,9-12K·13薪,安硕信息技术,上海·杨浦区·五角场,在校/应届本科
Java,300-350元/天,鼎正,上海·杨浦区·东外滩,3天/周3个月硕士
Java,130-260元/天,千匠网络,上海·闵行区·七宝,4天/周6个月本科
Java,20-25K,思明堂,上海·浦东新区·洋泾,5-10年本科
Java,25-35K,斑马网络,上海·闵行区·华漕,5-10年本科
Java实习生,300-350元/天,沐伊科技,上海·浦东新区·康桥,5天/周3个月大专
Java,15-20K,寸草网络,上海·松江区·九亭,5-10年本科
Java,20-40K,亿链宝,上海·黄浦区·打浦桥,5-10年本科
Java开发,8-12K·13薪,中科软,上海·浦东新区·世博,1-3年大专
JAVA,6-10K,趣农天下,上海·浦东新区·陆家嘴,1-3年大专
Java,10-15K·20薪,懋特,上海·徐汇区·田林,5-10年本科
JAVA,19-25K,上海亚阔信息,上海·徐汇区·田林,经验不限学历不限
JAVA开发实习生,180-300元/天,喜马拉雅,上海·浦东新区·张江,4天/周3个月学历不限
Java,14-24K,法本,上海·静安区·静安寺,经验不限大专
Java,7-8K,南京利智禾,上海·徐汇区·漕河泾,1-3年大专
Java,30-50K·16薪,饿了么,上海·普陀区·长征,5-10年本科
Java,250-260元/天,口碑,上海·浦东新区·花木,4天/周2个月本科
Java,200-250元/天,萃问,上海·杨浦区·东外滩,5天/周6个月本科
Java,9-14K·13薪,中科软科技有限公司,上海·浦东新区·陆家嘴,3-5年大专
Java工程师,10-14K·14薪,旺旺集团,上海,1-3年大专
Java,15-22K,丹焱信息科技,上海·闵行区·华漕,5-10年本科
Java,7-10K·13薪,万达信息,上海·闵行区·浦江,1年以内大专
Java,300-600元/天,拾象科技,上海·浦东新区·张江,3天/周3个月本科
Java开发,15-17K,文思海辉,上海·普陀区·长征,1-3年大专
Java,12-20K,中电文思海辉,上海·杨浦区·东外滩,3-5年大专
Java,25-40K·14薪,育而乐,上海·虹口区·四川北路,5-10年本科
Java,11-22K,软通动力,上海·浦东新区·金桥,1-3年大专
初级java,9-13K,中电金信,上海·静安区·曹家渡,1-3年大专
JAVA开发工程师,16-25K,Infosys,上海·闵行区·吴泾,5-10年大专
Java,8-13K·13薪,万达信息,上海·闵行区·浦江,1-3年大专
Java开发,14-20K,中软国际,上海·徐汇区·漕河泾,1-3年大专
Java,14-24K,法本,上海·静安区·静安寺,经验不限大专
Java,8-10K,上海园丁鸟,上海·嘉定区·嘉定镇,经验不限学历不限
Java,14-17K,软通动力信息技术集团,上海·浦东新区·陆家嘴,1-3年大专
Java,16-25K·13薪,来次购,上海·杨浦区·东外滩,3-5年大专
Java,7-12K,点持,上海·闵行区·老闵行,经验不限本科
java,11-22K·14薪,茵航电子商务,上海·浦东新区·八佰伴,1-3年大专
Java,9-14K,北京安信立融,上海·黄浦区·城隍庙,经验不限学历不限
Java,30-55K·15薪,美团网,上海·杨浦区·东外滩,5-10年本科
Java,2-5K,浦泷信息,上海·浦东新区·周浦,在校/应届大专
Java,15-25K,融易通,上海·浦东新区·世博,5-10年大专
Java实习生,100-150元/天,大自然家居,上海·闵行区·浦江,4天/周3个月大专
JAVA,9-12K,志承,上海,1-3年大专
Java,12-15K·17薪,兴业数金,上海·浦东新区·唐镇,在校/应届本科
Java,300-310元/天,bilibili,上海,5天/周6个月本科
Java实习生,180-200元/天,HMG,上海·浦东新区·张江,3天/周6个月本科
Java,20-30K·13薪,中通快递,上海·青浦区·青浦城区,5-10年本科
Java,25-35K·14薪,印闪科技,上海·闵行区·虹梅路,5-10年本科
Java,12-18K·13薪,且恩数据,上海·浦东新区·康桥,在校/应届本科
Java工程师（2022届）,150-200元/天,威士顿信息,上海·虹口区·大连,4天/周6个月本科
Java,20-30K·13薪,点掌传媒,上海·普陀区·曹杨,5-10年本科
JAVA工程师,18-22K,美丽田园,上海·虹口区·北外滩,5-10年大专
Java,30-50K·15薪,美团,上海·长宁区·北新泾,5-10年本科
Java,15-30K,聚项科技,上海·长宁区·新华路,5-10年本科
Java开发工程师,12-22K·13薪,重庆新致金服,上海,5-10年大专
Java,25-35K·14薪,爱回收,上海,5-10年本科
Java,20-23K,柯莱特集团,上海·长宁区·仙霞,5-10年本科
Java,20-30K,钢联物流,上海·宝山区·淞南,5-10年大专
java实习生,3-6K,浮罗创业投资,上海·嘉定区·南翔,应届生大专
Java,14-25K·13薪,申朴信息,上海·徐汇区·龙华,3-5年大专
Java,15-30K·13薪,趣活乐科技有限公司,上海·宝山区·大华,5-10年本科
Java,25-40K,每平每屋设计家,上海·浦东新区·塘桥,5-10年本科
JAVA实习生,150-200元/天,派拉软件,上海·浦东新区·唐镇,4天/周3个月本科
Java,8-13K,政柏软件,上海·闵行区·浦江,1-3年大专
JAVA实习生,200-300元/天,京东集团,上海·宝山区·庙行,4天/周6个月本科
Java,9-12K,上海灯引,上海·浦东新区·塘桥,1-3年本科
Java,9-14K,中安科技,上海,在校/应届本科
Java,5-10K,中科软科技,上海·虹口区·北外滩,1-3年本科
Java,20-40K·13薪,叮咚买菜,上海·浦东新区·张江,5-10年本科
Java,30-45K·16薪,蚂蚁金服,上海·浦东新区·陆家嘴,5-10年本科
java,15-22K,谊海科技,上海·浦东新区·张江,5-10年大专
Java工程师,8-11K,安硕信息技术,上海·杨浦区·五角场,在校/应届本科
Java实习生,200-250元/天,乐言科技,上海·长宁区·中山公园,4天/周6个月本科
Java,200-220元/天,腾研信息,上海·浦东新区·陆家嘴,5天/周5个月本科
Java,16-28K,上海爱体信息,上海,3-5年大专
JAVA开发,13-20K,博彦科技,上海·浦东新区·陆家嘴,1-3年大专
java实习生,100-150元/天,信栖网络,上海·闵行区·合川路,5天/周7个月大专
Java,150-300元/天,阿里集团,上海·普陀区·长征,3天/周3个月本科
JAVA,22-35K·15薪,浙江网新恒天,上海·浦东新区·张江,5-10年大专
Java,9-14K·13薪,中科软,上海·浦东新区·迪士尼,1-3年大专
