职位,薪资,公司,所在地,要求
POC售前交付工程师,25-50K·13薪,必示科技,上海·长宁区·中山公园,5-10年本科
poc测试开发,15-30K·14薪,宽睿科技,上海·浦东新区·张江,1-3年大专
安全测试工程师,6-11K,矩安,上海·静安区·火车站,经验不限学历不限
POC测试工程师,8-13K·15薪,观安信息,上海·嘉定区·江桥,经验不限本科
存储工程师,11-20K,Xsky,上海,经验不限大专
POC交付工程师,18-30K·14薪,杉岩数据,上海·黄浦区·城隍庙,经验不限大专
POC测试工程师,20-30K,上海川源,上海·徐汇区·漕河泾,3-5年本科
BI项目经理,15-18K,旭千科技,上海·徐汇区·漕河泾,5-10年大专
网络安全工程师,6-8K·13薪,凯畅信息,上海·浦东新区·曹路,经验不限大专
售后技术支持,8-13K,鸿翼股份,上海·徐汇区·漕河泾,1-3年大专
售前技术支持,10-15K,恒辉信达技术有限公司,上海·浦东新区·陆家嘴,经验不限大专
WEB安全研究员（实习）,230-300元/天,上海安势,上海·徐汇区·龙华,5天/周6个月本科
BI（商业智能）项目-项目助理,80-100元/天,MICROPOLE,上海·普陀区·长征,4天/周4个月本科
产品POC工程师（go语言）,15-25K,速擎软件,上海·闵行区·浦江,3-5年本科
网络信息安全售前技术经理,10-15K,上海商众科技,上海·长宁区·天山,5-10年本科
Support Associate,12-13K,SAP Labs,上海,在校/应届本科
产品助理实习生,100-150元/天,商涌网络,上海·浦东新区·张江,3天/周5个月本科
RPA实施,15-19K·13薪,港钛科技,上海·浦东新区·联洋,1-3年大专
运维开发工程师,8-10K,软通动力信息技术集团,上海·徐汇区·漕河泾,1-3年本科
售前架构师,20-35K·14薪,腾讯,上海·徐汇区·漕河泾,5-10年本科
人工智能视觉应用算法开发(实习岗),200-400元/天,燊赛,上海·浦东新区·金桥,4天/周3个月本科
RPA咨询及开发架构师,10-15K,数字力量,上海,1-3年本科
售前工程师,20-30K,杭州数列科技有限公司,上海·闵行区·虹桥,5-10年学历不限
资深安全分析师,12-20K·13薪,云纷,上海·徐汇区·漕河泾,经验不限本科
华为IT产品经理---上海,6-10K·17薪,中建材信息,上海·虹口区·北外滩,经验不限大专
power bi工程师,10-15K,宏恒软件,上海·浦东新区·金桥,3-5年大专
POC技术服务项目总监,15-18K·13薪,绿蚂蚁科技,上海,3-5年大专
网络安全实习生,200-250元/天,瀛太信息科技,上海,5天/周6个月大专
高级Java开发工程师,18-23K·13薪,翌擎科技,上海·嘉定区·安亭,5-10年大专
微服务架构师,20-40K·13薪,IBM,上海·杨浦区·平凉路,5-10年本科
运维工程师,8-12K,华夏威科,上海·浦东新区·陆家嘴,经验不限本科
