职位,薪资,公司,所在地,要求
Python,4-6K,岚狗星科技,上海·松江区·九亭,1年以内本科
Python,8-9K·14薪,中集飞瞳,上海,在校/应届学历不限
python,13-18K,东软集团,上海·浦东新区·外高桥,3-5年大专
python,10-15K,法本,上海·浦东新区·三林,1-3年大专
Python,18-35K·13薪,神谱科技(上海),上海·黄浦区·五里桥,5-10年本科
python工程师（全职/实习）（MJ000064）,300-500元/天,概率量化投资,上海·浦东新区·陆家嘴,4天/周3个月本科
Python,14-21K·13薪,鲁蓝,上海·徐汇区·龙华,3-5年大专
Python,12-24K,中软国际,上海·浦东新区·金桥,经验不限本科
Python,200-210元/天,药明生物,上海·奉贤区·南桥,4天/周3个月硕士
爬虫工程师python（实习）,150-180元/天,应帆科技,上海·静安区·南京西路,3天/周3个月硕士
Python,7-12K·13薪,云纷,上海·徐汇区·田林,1-3年本科
Python,12-20K,上海海万信息科技,上海·徐汇区·龙华,3-5年大专
Python开发工程师,100-200元/天,南京达卡,上海·浦东新区·惠南,5天/周2个月大专
python,10-15K,间格网络,上海·闵行区·浦江,1-3年学历不限
Python工程师,6-10K·13薪,世硕电子,上海·浦东新区·康桥,在校/应届本科
python实习生,300-350元/天,梭翱信息技术有限公司,上海·普陀区·长征,5天/周6个月学历不限
Python,150-200元/天,上海趋研信息科技,上海·闵行区·莘庄,4天/周3个月本科
Python,10-15K,上海齐维,上海·闵行区·浦江,3-5年大专
python,20-35K,曼光信息科技,上海·浦东新区·张江,5-10年本科
python,12-15K·13薪,上海甄士信息科技,上海·浦东新区·金桥,3-5年大专
Python后端开发工程师,5-6K·13薪,天科科技,上海,经验不限大专
实习 Python量化开发工程师,100-110元/天,韦纳软件,上海,4天/周3个月本科
Python,9-12K·13薪,上海欧易,上海,经验不限大专
Python,6-11K,环鸣科技,上海,3-5年本科
Python,12-18K,深圳麦亚信,上海·徐汇区·龙华,1-3年大专
Python,18-35K,富厚,上海·松江区·佘山,经验不限本科
Python开发工程师,13-20K,申朴信息,上海·浦东新区·陆家嘴,5-10年大专
Python,10-15K,埃尔法帝智能科技,上海·闵行区·虹桥,1-3年大专
Python开发,120-150元/天,众言科技,上海·徐汇区·田林,4天/周6个月本科
Python,6-10K,杰奕,上海·虹口区·四川北路,1-3年本科
Python,25-35K,上海星堡养老投资...,上海·静安区·曹家渡,5-10年本科
python工程师,6-11K,温州人本,上海·奉贤区·奉城,在校/应届本科
rpa开发实习工程师（python）,100-200元/天,上海德成,上海·浦东新区·金桥,3天/周6个月大专
Python实习,100-110元/天,国音智能,上海·浦东新区·张江,4天/周3个月大专
Python,5-10K,易流软件,上海·普陀区·长寿路,1-3年大专
Python,10-12K,上海泛远,上海·嘉定区·南翔,1-3年大专
Python,12-18K,上海颐景,上海·静安区·静安寺,3-5年本科
python实习生,150-200元/天,犀语科技,上海,4天/周6个月本科
python开发,10-15K·13薪,量投科技,上海,在校/应届本科
Python,15-20K,上海袂抉,上海·静安区·南京西路,经验不限本科
Python开发实习生,250-350元/天,嬴彻科技,上海,4天/周3个月本科
AI项目Python开发实习生,150-300元/天,深杳智能,上海·闵行区·老闵行,2天/周2个月学历不限
