职位,薪资,公司,所在地,要求
自动化控制工程师,35-65K·15薪,华为技术有限公司,上海·浦东新区·金桥,在校/应届博士
算法工程师,15-30K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师,25-40K,华为,上海·浦东新区·金桥,在校/应届博士
建模仿真工程师,30-50K·14薪,华为,上海·浦东新区·金桥,在校/应届博士
建模仿真工程师,30-60K·15薪,华为技术有限公司,上海·浦东新区·金桥,在校/应届博士
光学算法工程师,30-60K·15薪,华为技术有限公司,上海·浦东新区·金桥,在校/应届博士
AI算法工程师,20-30K·15薪,华为,上海,在校/应届硕士
算法实习生,500-1000元/天,华为,上海·浦东新区·金桥,4天/周3个月本科
算法工程师,30-60K·16薪,华为,上海·浦东新区·金桥,在校/应届博士
软件开发、软件测试实习生,200-250元/天,华为,上海·浦东新区·金桥,3天/周2个月学历不限
计算仿真研究工程师,15-30K,华为技术有限公司,上海·浦东新区·金桥,在校/应届博士
光学算法工程师,15-30K,华为技术有限公司,上海·浦东新区·金桥,在校/应届博士
HR Intern/人事实习生,300-500元/天,华为,上海·浦东新区·金桥,3天/周2个月本科
通用软件开发工程师,1-2K,华为,上海·浦东新区·金桥,在校/应届本科
软件算法工程师,1-2K,华为,上海·浦东新区·金桥,在校/应届本科
机器学习,1-2K,华为,上海·浦东新区·金桥,在校/应届硕士
网络安全工程师,19-35K,华为,上海·浦东新区·金桥,在校/应届本科
通用软件开发工程师,18-35K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
测试工程师（21-22届校招）,15-28K·13薪,华为,上海·浦东新区·金桥,在校/应届本科
智能汽车,20-30K,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
无线网络产品线2022届校园招聘,25-50K,华为,上海·浦东新区·金桥,在校/应届本科
嵌入式软件工程师,16-30K·14薪,华为,上海·浦东新区·金桥,在校/应届本科
软件测试工程师,16-30K·14薪,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师,16-30K·14薪,华为,上海·浦东新区·金桥,在校/应届本科
应届生（JAVA/C++/web前端开发）,12-20K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
硬件技术工程师实习,500-1000元/天,华为,上海·浦东新区·金桥,2天/周2个月本科
测试工程师实习,500-1000元/天,华为,上海·浦东新区·金桥,2天/周2个月本科
【华为无线22届校招】java微服务开发岗,15-30K·16薪,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
【华为无线22届校招】AI算法开发和设计,15-30K·15薪,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
软件开发工程师（21-22届留学生）,15-28K·13薪,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师（JAVA/C++/web前端开发）,15-20K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
解决方案工程师,13-25K,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师,17-30K,华为,上海·浦东新区·金桥,在校/应届本科
算法工程师,18-22K,华为,上海·浦东新区·金桥,在校/应届硕士
研发工程师,12-24K,华为,上海·浦东新区·金桥,在校/应届硕士
华为软件开发工程师,20-25K,华为,上海·浦东新区·金桥,在校/应届学历不限
算法工程师&技术研究IT程师,15-30K·14薪,华为,上海·浦东新区·金桥,在校/应届本科
测试工程师,18-22K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
测试工程师,18-20K·15薪,华为,上海·浦东新区·金桥,在校/应届硕士
操作系统开发工程师,18-35K,华为技术有限公司,上海·浦东新区·金桥,在校/应届硕士
C++开发工程师,18-35K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
高级软件工程师,15-20K,华为,上海·浦东新区·金桥,在校/应届硕士
解决方案测试,19-30K·16薪,华为,上海·浦东新区·金桥,在校/应届本科
软件测试,19-30K·16薪,华为,上海·浦东新区·金桥,在校/应届本科
硬件工程师,11-22K,华为,上海·浦东新区·金桥,在校/应届本科
5G开发工程师,20-28K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
测试&开发工程师,15-25K·16薪,华为,上海·浦东新区·金桥,在校/应届学历不限
通信技术工程师,25-35K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
通信研发工程师,20-28K,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
软件工程师,26-50K,华为,上海·浦东新区·金桥,在校/应届本科
2022应届生，上海华为稀缺底层软件岗位内招,18-25K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
Java,25-35K,华为,上海·浦东新区·金桥,在校/应届本科
软件算法-留学生校招,18-35K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
软件开发工程师-基础架构/软件（留学生）,20-40K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
华为5G通用软件工程师 C++,20-30K,华为,上海·浦东新区·金桥,在校/应届本科
算法工程师,25-50K·16薪,华为,上海·浦东新区·金桥,在校/应届本科
测试工程师,25-50K·16薪,华为,上海·浦东新区·金桥,在校/应届本科
解决方案测试工程师,20-24K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
无线通信工程师,20-24K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
无线通信算法工程师,20-24K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
软件测试工程师,20-24K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
算法工程师,18-28K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
嵌入式软件开发工程师,18-28K,华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
测试开发工程师,15-30K,华为,上海·浦东新区·金桥,在校/应届本科
工具软件开发工程师,15-30K,华为,上海·浦东新区·金桥,在校/应届本科
编译器虚拟机开发工程师,16-30K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
射频工程师,18-35K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届硕士
软件工程师,16-17K,华为,上海·浦东新区·金桥,在校/应届硕士
软件开发工程师,15-30K,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师,15-30K·14薪,华为,上海·浦东新区·金桥,在校/应届本科
通用软件开发工程师,20-30K,华为,上海·浦东新区·金桥,在校/应届本科
软件开发工程师—通用软件开发工程师,20-25K,华为,上海·浦东新区·金桥,在校/应届学历不限
华为软件开发工程师,20-25K,华为,上海·浦东新区·金桥,在校/应届学历不限
射频硬件工程师,20-30K·15薪,华为,上海·浦东新区·金桥,在校/应届硕士
软件测试工程师,20-30K,华为,上海·浦东新区·金桥,在校/应届硕士
通信技术工程师,20-30K,华为,上海·浦东新区·金桥,在校/应届硕士
【21届留学生招聘】射频工程师,15-25K·15薪,华为,上海·浦东新区·金桥,在校/应届本科
5G解决方案工程师,15-16K,华为,上海·浦东新区·金桥,在校/应届本科
通用软件开发工程师,20-28K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
嵌入式软件工程师,20-28K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
嵌入式开发工程师,20-28K·16薪,上海华为技术有限公司,上海·浦东新区·金桥,在校/应届本科
华为测试工程师,20-30K·16薪,华为,上海·浦东新区·金桥,在校/应届硕士
华为软件开发工程师,20-30K·16薪,华为,上海·浦东新区·金桥,在校/应届硕士
软件开发工程师-海外校招,15-16K,华为,上海·浦东新区·金桥,在校/应届本科
通信/软件研发工程师,30-60K,华为,东莞·大朗镇·松山湖,在校/应届博士
华为AI博士招聘,35-60K·15薪,华为,杭州·滨江区·长河,在校/应届博士
大数据开发工程师,15-30K·16薪,华为,杭州·滨江区·长河,在校/应届硕士
大数据开发工程师,15-30K·14薪,华为,苏州·苏州工业园区·独墅湖,在校/应届本科
博士生招聘,30-50K·13薪,华为,南京·雨花台区·南京南站,在校/应届博士
算法工程师-智能运维方向,30-60K·16薪,华为,苏州·苏州工业园区·独墅湖,在校/应届博士
算法工程师-认知推理方向,30-60K·16薪,华为,苏州·苏州工业园区·独墅湖,在校/应届博士
软开&算法&测试 留学生校招（21/22届）,15-30K·15薪,华为,深圳·龙岗区·坂田,在校/应届本科
python开发、算法；光学,15-30K·15薪,华为,武汉·江夏区·光谷东,在校/应届本科
软件开发工程师(C/C++、Java、Python),16-30K·15薪,华为,深圳·龙岗区·坂田,在校/应届本科
软件测试工程师,17-30K,华为,成都·郫都区·高新西,在校/应届本科
华为顶尖博士招聘,40-70K,华为,北京,在校/应届博士
前端开发工程师,15-30K·16薪,华为,杭州·滨江区·长河,在校/应届本科
华为海外留学生人才招聘【杭州】,18-28K·14薪,华为,杭州·滨江区·长河,在校/应届本科
华为秋招,25-50K,华为,北京·海淀区·西北旺,在校/应届本科
硬件技术工程师（光技术）,20-40K,华为,东莞·大朗镇·松山湖,在校/应届博士
华为杭州博士后科研工作站招聘,40-70K,华为,杭州·滨江区·长河,在校/应届博士
C/C++软件开发工程师,15-25K,华为,杭州·滨江区·长河,在校/应届硕士
测试开发工程师,13-22K·15薪,华为,杭州·滨江区·长河,在校/应届本科
（留学生）硬件技术工程师【华为数字能源】,15-30K,华为,东莞·大朗镇·松山湖,在校/应届本科
AI算法研究,30-60K·16薪,华为,深圳·龙岗区·坂田,在校/应届博士
博士,20-40K,华为,西安·雁塔区·高新软件园,在校/应届博士
软件测试工程师,15-25K,华为,北京·海淀区·西北旺,在校/应届本科
【留学生】测试工程师,18-30K,华为,苏州·苏州工业园区·独墅湖,在校/应届学历不限
软件工程师-2022年校园招聘,15-30K,华为,南京·雨花台区·南京南站,在校/应届本科
华为留学生-软件开发工程师,15-30K,华为,西安·雁塔区·高新软件园,在校/应届本科
天才少年-网络安全方向博士招募中,50-55K,华为,北京·海淀区·西北旺,在校/应届博士
华为留学生-软件开发工程师,15-25K,华为,杭州·滨江区·长河,在校/应届本科
软件开发工程师(C/C++、Java、Python),16-30K·15薪,华为,广州·越秀区·区庄,在校/应届本科
高级电源设计工程师,30-60K·14薪,华为,东莞·大朗镇·松山湖,在校/应届博士
华为南京博士后研究员,30-50K,华为技术有限公司,南京·雨花台区·雨花新村,在校/应届博士
通用软件开发工程师,15-30K,华为,苏州·苏州工业园区·独墅湖,在校/应届本科
解决方案工程师,25-35K·14薪,华为,北京·海淀区·西北旺,在校/应届本科
编译器虚拟机开发工程师,16-30K·15薪,华为,北京·海淀区·上地,在校/应届本科
编译器虚拟机开发工程师,16-30K·15薪,华为,杭州·滨江区·长河,在校/应届本科
留学生校招 华为,15-30K·15薪,华为,北京·海淀区·西北旺,在校/应届学历不限
