职位,薪资,公司,所在地,要求
司机,9-12K,跨越速运集团有限公司,上海·青浦区·华新,经验不限学历不限
司机,8-10K,跨越速运,上海·虹口区·北外滩,1-3年学历不限
司机,7-9K,高业电子商务,上海·浦东新区·北蔡,经验不限学历不限
司机,8-10K,跨越速运,上海·虹口区·大柏树,1-3年学历不限
货运司机,5-10K,跨越速运集团有限公司,上海·闵行区·曹行镇,经验不限学历不限
司机,9-12K,叮咚买菜,上海·奉贤区·南桥,1-3年学历不限
司机,5-6K,时之鑫,上海·宝山区·罗泾,经验不限学历不限
驾驶员/配送司机,5-7K,曼德广告,上海·普陀区·长征,5-10年学历不限
司机,8-10K,跨越速运,上海·普陀区·桃浦,1-3年学历不限
司机,5-6K,虹桥御花园,上海·长宁区·中山公园,5-10年中专/中技
上海嘉定招带车送货司机带车！,8-13K,易久批,上海·嘉定区·安亭,经验不限学历不限
货运司机,6-7K·13薪,农昱,上海·浦东新区·周浦,1-3年学历不限
夜班司机,5-6K,户尚冷链宅配,上海·闵行区·曹行镇,1-3年学历不限
驻外司机,7-9K,励福江门公司,上海·嘉定区·嘉定镇,经验不限学历不限
司机驾驶员,6-7K,上海俊垚,上海,1-3年初中及以下
司机驾驶员,12-13K,壹米滴答,上海·青浦区·重固,3-5年学历不限
带车司机,13-18K,云杉美菜,上海·宝山区·杨行,经验不限学历不限
8500司机包住-上班自由（上海）,8-12K,醇鲜然羊奶,上海·嘉定区·马陆,经验不限学历不限
司机,5-7K,江苏七欣天餐饮管...,上海·松江区·九亭,1-3年中专/中技
司机驾驶员,9-14K,上海兴赖物流有限公司,上海·青浦区·华新,3-5年初中及以下
配送司机,10-15K,美菜,上海·奉贤区·奉城,经验不限学历不限
C1货运司机,9-12K,货拉拉科技,上海·青浦区·青浦城区,经验不限学历不限
带车司机--兼职,5-10K,上海华屹数码科技...,上海,经验不限学历不限
大件收派司机 底薪7000+ 包住 资格证 B照,7-12K,德邦快递,上海·金山区·朱泾,1-3年学历不限
司机,4-6K,馨月汇,上海·静安区·曹家渡,1-3年高中
司机,8-9K,跨越速运集团有限公司,上海·嘉定区·华亭,1-3年高中
叮咚买菜急招货车司机,9-14K,叮咚买菜,上海·宝山区·杨行,经验不限学历不限
高薪杨浦带车司机上海易久批,8-13K,易酒批,上海·杨浦区·中原,经验不限学历不限
司机,7-9K,漪秀,上海·徐汇区·龙华,10年以上学历不限
