职位,薪资,公司,所在地,要求
架构分析师,25-30K,仙豆智能,上海·长宁区·仙霞,5-10年本科
架构师,25-50K,中通快递,上海·青浦区·华新,5-10年本科
架构师,20-40K·15薪,天风证券,上海·虹口区·北外滩,5-10年本科
架构师,30-50K·13薪,秉匠科技,上海·闵行区·合川路,5-10年本科
首席架构师,30-50K,杉德,上海·徐汇区·漕河泾,10年以上大专
架构师,25-50K·13薪,普飞科特,上海·青浦区·徐泾,5-10年本科
架构师,25-35K·13薪,上海莫凡,上海,5-10年本科
架构师,30-50K,食物主义,上海·静安区·汶水路,5-10年本科
交付架构师,30-60K·14薪,腾讯,上海·徐汇区·漕河泾,5-10年本科
云架构师,30-60K·16薪,阿里云,上海·徐汇区·龙华,5-10年本科
架构师,40-65K·13薪,博云（公司产品）,上海·浦东新区·迪士尼,10年以上本科
架构师,30-60K,执中数据科技（北...,上海·浦东新区·陆家嘴,5-10年硕士
架构师,35-65K·15薪,铭图天成,上海·浦东新区·张江,5-10年本科
架构师,24-25K,东方航空,上海·闵行区·虹桥,5-10年本科
架构师,30-60K·14薪,微盟,上海·宝山区·淞南,5-10年大专
架构师,30-40K·13薪,铂略金融,上海·浦东新区·陆家嘴,10年以上本科
架构师,30-60K,径赢网络科技,上海·静安区·静安寺,5-10年本科
架构师,40-45K·13薪,励销云,上海·浦东新区·塘桥,10年以上本科
架构师,25-50K,赢火虫,上海·松江区·新桥,5-10年本科
架构师,30-50K·14薪,华勤技术股份有限公司,上海·浦东新区·张江,5-10年本科
架构师,15-30K,新朋程,上海·虹口区·周家嘴路,5-10年本科
架构师,30-60K,上海芯参,上海·虹口区·临平路,5-10年本科
架构师,25-35K,通办服务,上海·静安区·汶水路,5-10年本科
架构师,40-65K,快仓智能,上海·徐汇区·漕河泾,10年以上本科
架构师,22-40K·14薪,金磁好车,上海·黄浦区·西藏南路,5-10年本科
实习分析师,10-20元/天,宁波仁弘创业投资...,上海·徐汇区·徐家汇,5天/周3个月硕士
架构师,30-45K·13薪,医科达,上海·浦东新区·陆家嘴,5-10年本科
资深架构师,40-70K,云钠科技,上海,5-10年本科
架构师,30-40K·15薪,中骏信息,上海,5-10年本科
架构师,20-30K·13薪,上海嘉略网络科技...,上海,5-10年本科
架构师,30-45K,杰恩,上海·徐汇区·漕河泾,5-10年本科
架构师,35-60K,高济,上海·浦东新区·张江,5-10年本科
架构师,13-26K,神牛数据,上海,5-10年本科
高级Unity3D开发引擎架构师,50-80K,上海跳珠网络,上海·长宁区·北新泾,5-10年本科
架构师,50-70K,珍岛集团,上海·静安区·汶水路,5-10年本科
架构师,35-60K·15薪,品上生活网络,上海·浦东新区·张江,10年以上本科
前端架构师,28-40K·13薪,第一秒电商,上海·黄浦区·人民广场,5-10年大专
软件架构师,25-35K,曼芙丽,上海·松江区·新桥,5-10年硕士
架构师,20-30K·20薪,富国基金,上海·虹口区·周家嘴路,5-10年硕士
架构师,16-28K,迪爱斯,上海·徐汇区·枫林路,5-10年本科
中台架构师,30-45K,橙联供应链,上海·长宁区·天山,10年以上本科
整车工程-系统架构师,20-40K,小米,上海·徐汇区·漕河泾,5-10年学历不限
架构师,15-20K,三盟软件,上海·黄浦区·外滩,5-10年本科
助理分析师（校园招聘 上海）,10-15K,中诚信国际信用评级,上海·黄浦区·老西门,在校/应届硕士
架构师,35-45K,技创智能,上海·徐汇区·漕河泾,5-10年本科
资深架构师,40-60K,畅想信息技术有限公司,上海·浦东新区·陆家嘴,5-10年硕士
软件架构师,30-40K,复导盟达,上海·杨浦区·五角场,5-10年本科
架构师,35-50K·14薪,弼博,上海,5-10年本科
架构师,25-30K,金卓科技,上海·浦东新区·张江,10年以上硕士
架构师,25-26K·16薪,微务智能,上海,5-10年本科
业务架构师,35-50K·16薪,永辉大科技,上海·闵行区·华漕,5-10年本科
架构师,20-30K·13薪,员客信息科技,上海·长宁区·娄山关路,5-10年本科
架构师,20-30K,钢联物流,上海·宝山区·淞南,5-10年本科
架构师,25-40K·15薪,络特思,上海·徐汇区·漕河泾,10年以上本科
架构师,40-60K,饿了么,上海·普陀区·长征,5-10年本科
后端架构师,30-50K·13薪,上海美萌软件科技,上海·宝山区·淞南,10年以上本科
架构师,20-25K,平安好学,上海·浦东新区·陆家嘴,5-10年本科
架构师,40-60K·18薪,恒生聚源,上海·浦东新区·塘桥,5-10年本科
架构师,25-40K·15薪,谐云,上海·徐汇区·漕河泾,5-10年本科
架构师,40-60K·14薪,津口道,上海·浦东新区·张江,5-10年本科
资深架构师,35-45K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年大专
架构设计师,30-60K,垣信卫星科技有限公司,上海·松江区·九亭,5-10年本科
架构师,20-30K,羽博医学,上海·静安区·大宁,5-10年本科
系统架构师,30-50K·15薪,金拱门食品有限公司,上海·徐汇区·漕河泾,5-10年本科
系统架构师,20-30K·13薪,维坤智能科技,上海·徐汇区·漕河泾,5-10年本科
架构师,20-30K,千匠网络,上海·虹口区·大柏树,5-10年本科
软件架构,20-35K,涛途新能源科技,上海·长宁区·新华路,经验不限学历不限
研发架构师,55-65K·13薪,时空道宇科技,上海·徐汇区·漕河泾,5-10年本科
架构师,40-70K·16薪,得物App,上海·杨浦区·东外滩,5-10年本科
存储架构师,50-80K·16薪,千宅,上海·浦东新区·滴水湖临港地区,5-10年本科
后端架构师,35-60K·13薪,轻流,上海·闵行区·老闵行,5-10年本科
智慧城市系统架构师,3-5K,吾城微脑,上海·静安区·大悦城,5-10年博士
系统架构师,25-40K,上海博坤,上海·徐汇区·龙华,5-10年学历不限
架构师,35-65K·17薪,平安金服,上海·浦东新区·金桥,5-10年本科
架构师,50-70K·16薪,上海述信,上海·徐汇区·漕河泾,5-10年本科
系统架构师,20-30K,辰锐信息,上海·浦东新区·张江,5-10年硕士
架构师,25-50K,中通,上海·青浦区·华新,5-10年本科
架构师,25-50K,沃星,上海·普陀区·长寿路,经验不限本科
资深架构师,35-55K,源杉科技,上海·杨浦区·五角场,5-10年本科
AWS架构交付工程师,25-50K·14薪,埃森哲,上海·徐汇区·徐家汇,5-10年大专
架构师,23-40K,仁车相随,上海·杨浦区·五角场,5-10年本科
架构师,35-55K·16薪,阿里巴巴集团,上海·浦东新区·陆家嘴,5-10年硕士
后端架构师,60-90K·15薪,NIO蔚来,上海,5-10年本科
软件架构师,40-70K·20薪,OPPO,上海,10年以上本科
系统架构师,25-30K,适途汽车,上海·浦东新区·康桥,5-10年大专
架构师,30-40K,徙木金融,上海·普陀区·长征,5-10年本科
架构师,20-40K,上海微课信息科技...,上海·闵行区·老闵行,5-10年本科
证券股票分析师,10-15K,利多星,上海,5-10年本科
java架构师,30-45K·15薪,际珂信息,上海·闵行区·浦江,5-10年大专
系统架构师,25-35K,车联天下,上海·闵行区·华漕,5-10年本科
助理数据分析师（大气环境方向）,7-9K,上海地听,上海,在校/应届本科
系统架构师,15-30K·14薪,ntt data,上海·静安区·静安寺,5-10年本科
数据分析师,120-150元/天,药明康德,上海·浦东新区·外高桥,4天/周3个月本科
系统架构师,15-25K,国动信息集团,上海,5-10年本科
架构师,50-75K,威派格,上海·嘉定区·外冈,5-10年本科
系统架构师,45-50K·15薪,华泰证券,上海·浦东新区·陆家嘴,5-10年硕士
AI架构师,40-70K,红云生物,上海·闵行区·颛桥,5-10年硕士
无机化学分析师,6-8K·14薪,SGS,上海·徐汇区·漕河泾,经验不限大专
软件开发架构师,30-35K·13薪,元拓软件,上海·徐汇区·漕河泾,5-10年学历不限
业务流程话术专员/语义分析师/自然语言分析,6-12K,保险街,上海·浦东新区·张江,经验不限学历不限
架构师,20-40K,中移上海产业研究院,上海·浦东新区·金桥,5-10年本科
架构师,20-40K,吴淞口集团,上海·宝山区·吴淞,5-10年本科
架构师,20-40K·14薪,美年大健康,上海·静安区·大宁,5-10年本科
架构师,35-40K·13薪,深演智能,上海·徐汇区·音乐学院,5-10年本科
高级系统架构师,30-60K·14薪,科大讯飞,上海,5-10年本科
架构师,15-30K,宇臻科技,上海·嘉定区·徐行,经验不限本科
架构师,30-60K,璀璨智行,上海·浦东新区·金桥,经验不限本科
系统架构师,20-40K·16薪,星宸科技股份有限公司,上海·浦东新区·张江,5-10年本科
技术架构师,20-35K,万高,上海,5-10年本科
