  职位,薪资,公司,所在地,要求
自然语言处理,150-200元/天,毕马威,上海·静安区·静安寺,4天/周3个月本科
自然语言处理,30-60K,字节跳动,上海·闵行区·合川路,1-3年硕士
自然语言处理,29-55K,饿了么,上海·普陀区·长征,1-3年硕士
自然语言处理,30-60K·15薪,Shopee,上海·普陀区·长风,3-5年硕士
自然语言处理,25-45K,美的集团,上海·青浦区·机场,经验不限硕士
自然语言处理,25-40K,小米,上海·宝山区·淞宝,1-3年本科
自然语言处理,22-24K,瑞可利企业管理咨询,上海·黄浦区·新天地,1-3年硕士
自然语言处理,25-50K,携程集团,上海·长宁区·北新泾,经验不限硕士
自然语言处理,25-50K·15薪,美的AI创新中心,上海·青浦区·机场,3-5年硕士
自然语言处理,30-50K·15薪,斑马网络,上海·闵行区·华漕,3-5年硕士
自然语言处理实习生,150-250元/天,治吉科技,上海·长宁区·古北,4天/周3个月硕士
自然语言处理,45-75K·19薪,饿了么,上海·普陀区·长征,3-5年本科
自然语言处理,30-50K·18薪,拼多多,上海·长宁区·娄山关路,1-3年硕士
自然语言处理,20-40K·16薪,阿里巴巴集团,上海·普陀区·长征,3-5年本科
自然语言处理,25-50K,天壤智能,上海·徐汇区·龙华,3-5年硕士
自然语言处理,20-30K·15薪,合众新能源汽车有......,上海·闵行区·虹桥,5-10年本科
自然语言处理,30-60K,德勤咨询,上海·黄浦区·外滩,3-5年本科
自然语言处理,25-30K·16薪,腾讯互娱,上海·徐汇区·漕河泾,1-3年本科
自然语言处理,25-40K·15薪,携程集团,上海·长宁区·北新泾,3-5年硕士
高级自然语言处理研究员,40-60K·15薪,SenseTime,上海·徐汇区·漕河泾,3-5年博士
自然语言处理,26-35K,云快报,上海·虹口区·周家嘴路,3-5年硕士
自然语言处理,15-30K,万得,上海·浦东新区·塘桥,1-3年本科
自然语言处理,12-24K,云绅智能科技,上海·闵行区·虹桥,1-3年本科
算法实习生-自然语言处理方向（A0218),300-400元/天,合合信息,上海·静安区·彭浦镇,3天/周3个月硕士
自然语言处理 实习生,200-300元/天,美的集团,上海·青浦区·机场,4天/周3个月硕士
自然语言处理算法工程师,25-35K·15薪,斑马网络,上海·闵行区·虹桥,在校/应届博士
自然语言处理算法实习生,300-400元/天,上海人工智能创新中心,上海·徐汇区·龙华,4天/周6个月硕士
自然语言处理算法实习生-模型优化方向,250-300元/天,今日头条,上海·闵行区·合川路,3天/周3个月本科
自然语言处理,25-50K,得物App,上海·杨浦区·东外滩,3-5年硕士
自然语言处理,30-35K·16薪,腾讯互娱,上海·徐汇区·漕河泾,3-5年本科
自然语言处理,30-35K·16薪,腾讯互娱,上海·徐汇区·漕河泾,3-5年本科
自然语言处理专家,50-80K,卓繁信息,上海,1-3年博士
自然语言处理,30-60K,拼多多,上海,3-5年本科
资深自然语言处理算法NLP,30-60K,国音智能,上海·浦东新区·张江,5-10年硕士
自然语言处理工程师,20-30K,携程旅行网,上海·长宁区·淞虹路,1-3年硕士
自然语言处理,25-50K·16薪,得物App,上海·杨浦区·东外滩,3-5年硕士
自然语言处理算法研究员,35-65K·14薪,中电金信,上海·徐汇区·龙华,3-5年硕士
高级自然语言处理研究员-对话方向,55-85K·15薪,SenseTime,上海·徐汇区·漕河泾,3-5年博士
自然语言处理,45-75K·19薪,饿了么,上海·普陀区·长征,5-10年本科
