职位,薪资,公司,所在地,要求
运营专员[接受应届生],5-9K,国德网络,上海·普陀区·长风,在校/应届大专
运营,10-15K,中软国际,上海·浦东新区·金桥,经验不限大专
运营专员,5-6K,火码信息科技,上海·松江区·永丰,经验不限大专
运营助理,150-160元/天,上海我爱我家房地产,上海·杨浦区·东外滩,4天/周3个月大专
运营,8-13K·14薪,万涛国际设计松江店,上海,1-3年大专
电商运营助理淘宝运营店长,7-9K,上海萌心电子商务,上海·浦东新区·大团镇,1年以内大专
运营,7-12K,风阅,上海·闵行区·虹桥,1年以内大专
运营实习生,100-110元/天,晨光文具,上海·松江区·新桥,3天/周3个月大专
活动运营,140-150元/天,腾讯,上海·徐汇区·漕河泾,4天/周6个月硕士
抖音商城 - 服饰鞋包行业商品运营,5-10K,北京字节跳动,上海·杨浦区·五角场,经验不限大专
百度SEM运营部实习生,200-250元/天,百度分公司,上海·嘉定区·嘉定镇,5天/周6个月大专
运营实习生,120-150元/天,上海芦鸣,上海·徐汇区·漕河泾,4天/周3个月大专
APP运营实习生,150-200元/天,匡慧,上海·浦东新区·三林,5天/周6个月大专
运营实习生,140-150元/天,上海鲲驰,上海·浦东新区·张江,4天/周3个月大专
运营助理🔥95后高颜值团队+免费住宿🏠,15-25K,太平洋房屋,上海·宝山区·上海大学,在校/应届大专
运营,7-8K,同方鼎欣,上海·浦东新区·张江,经验不限本科
游戏平台运营 实习生,150-160元/天,传音控股,上海·浦东新区·张江,5天/周3个月大专
产品运营,100-200元/天,百度,上海·嘉定区·嘉定镇,5天/周6个月大专
运营总监,25-35K,昕宿轩美容,上海·黄浦区·人民广场,10年以上本科
Ebay/速卖通/wish/shopee/Amazon运营,8-10K,筋斗云,上海·闵行区·浦江,经验不限大专
电商运营,15-30K·13薪,泰氏食品,上海·嘉定区·江桥,5-10年大专
运营专员,8-12K·13薪,润和软件,上海·浦东新区·塘桥,1-3年大专
新媒体运营实习（可长期实习优先）,100-200元/天,美腾,上海·静安区·彭浦镇,5天/周3个月学历不限
文案运营,150-200元/天,凌立健康,上海·黄浦区·人民广场,4天/周3个月本科
运营,10-15K,商赢,上海,1-3年高中
运营专员（周末双休不加班）,7-8K·13薪,公瑾科技,上海,经验不限大专
电商运营,15-20K·13薪,科丝美诗,上海·闵行区·虹桥,5-10年大专
运营,10-15K·13薪,康趣电商,上海·嘉定区·江桥,3-5年大专
运营助理,4-6K,蔚蓝云创,上海·徐汇区·漕河泾,经验不限大专
销售运营,7-10K·13薪,美团,上海·长宁区·北新泾,经验不限大专
